learning_rate,max_depth,n_estimators,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_r2,test_r2,mean_train_r2,train_r2,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0.0879922543569107,1,138,0.03605190912882487,0.023577533748559476,0.0018560091654459636,0.00010044438886394066,-52.76292592136709,71.58242297213785,0.9999126735499461,3.3757464722003686e-05,-3515.227429017274,1397.9612448224038,-26.219860997389645,4.93236848376558
0.13593563908785256,1,138,0.03618415196736654,0.029896389633670254,0.001807848612467448,8.655751042746549e-05,-53.12935912762535,72.08773575330663,0.9999993978890572,2.8627428885254435e-07,-3527.354783177936,1404.7545683683552,-2.1322951259955967,0.5382928269603022
0.21000141557086555,1,138,0.043825387954711914,0.02397414394917018,0.0018717447916666667,7.13856529416421e-05,-53.14030050201628,72.10188488608078,0.9999999997922755,1.1981268999008183e-10,-3528.0194350106844,1404.8514044452334,-0.03820941270957375,0.013420064813310028
0.324422607917163,1,138,0.029938379923502605,0.021475558157716908,0.001760403315226237,0.00010713466184314585,-52.15876714112684,70.74129790044661,0.9999999999995027,1.7379098502546698e-13,-3496.10693162471,1385.8154124615442,-0.0019890682716131075,9.221226900924731e-05
0.5011872336272722,1,138,0.030684789021809895,0.021820697750106064,0.0037859280904134116,0.0027957578675186162,-50.18029025935073,67.91867695861777,0.9999999999999166,2.698892573643508e-14,-3467.7554808073523,1337.7555056590713,-0.0008169976589785891,3.4326747835955084e-05
0.01,1,161,0.0354460080464681,0.018254994823806554,0.0018417835235595703,2.8546580404464274e-05,-42.16464513746713,53.44294947904252,0.7922450477481826,0.03760657904246285,-3312.8021001104157,968.9726349952293,-1322.7175042981848,188.80425899257477
0.015448591479026755,1,161,0.035148938496907554,0.022485496548272612,0.0017990271250406902,8.736890678396918e-05,-42.99020956440969,56.11343452836876,0.8967397115031522,0.022161063740873285,-3287.082658808613,1047.1635377578775,-926.835120626825,120.65887852387152
0.023865897868585808,1,161,0.031868696212768555,0.02153266577107497,0.007589181264241536,0.008232204550539838,-46.10940421383332,61.70232922371157,0.96239892073344,0.009088964984281312,-3323.6912377207714,1203.6407251804803,-556.4742810067671,65.92624649648967
0.036869450645195756,1,161,0.03265841801961263,0.021054415068247984,0.001808484395345052,0.0001241429665532376,-49.60071169385838,67.0805723041814,0.9916806786748612,0.0023413512466465974,-3412.80183407372,1323.660038163369,-260.38809813064995,34.261637745454024
0.056958108107376865,1,161,0.036055405934651695,0.022996035884481285,0.0017956097920735676,7.258591763724856e-05,-51.97024619667122,70.47259833274416,0.9992025535390803,0.00026984970733129793,-3489.22733359134,1381.315824953878,-79.9256261338737,12.722673334584448
